State,Year,Quater,District,Users
Tamil Nadu,2021,2,tiruppur district,828168
Tamil Nadu,2021,2,dharmapuri district,329355
Tamil Nadu,2021,2,thoothukkudi district,267294
Tamil Nadu,2021,2,thanjavur district,365299
Tamil Nadu,2021,2,madurai district,675035
Tamil Nadu,2021,2,tiruvannamalai district,396885
Tamil Nadu,2021,2,salem district,742566
Tamil Nadu,2021,2,nagapattinam district,184857
Tamil Nadu,2021,2,tirupathur district,259721
Tamil Nadu,2021,2,ariyalur district,108556
Tamil Nadu,2021,2,chennai district,1988355
Tamil Nadu,2021,2,the nilgiris district,142446
Tamil Nadu,2021,2,erode district,482323
Tamil Nadu,2021,2,karur district,181017
Tamil Nadu,2021,2,kallakkurichi district,248488
Tamil Nadu,2021,2,viluppuram district,309150
Tamil Nadu,2021,2,pudukkottai district,191659
Tamil Nadu,2021,2,perambalur district,91400
Tamil Nadu,2021,2,coimbatore district,1393621
Tamil Nadu,2021,2,virudhunagar district,281847
Tamil Nadu,2021,2,dindigul district,358919
Tamil Nadu,2021,2,sivaganga district,195549
Tamil Nadu,2021,2,tenkasi district,166417
Tamil Nadu,2021,2,chengalpattu district,1344163
Tamil Nadu,2021,2,kanniyakumari district,305185
Tamil Nadu,2021,2,tirunelveli district,277572
Tamil Nadu,2021,2,thiruvallur district,1626966
Tamil Nadu,2021,2,theni district,200555
Tamil Nadu,2021,2,ranipet district,266500
Tamil Nadu,2021,2,namakkal district,326094
Tamil Nadu,2021,2,vellore district,370600
Tamil Nadu,2021,2,thiruvarur district,138929
Tamil Nadu,2021,3,tiruchirappalli district,607438
Tamil Nadu,2021,3,ramanathapuram district,184592
Tamil Nadu,2021,3,krishnagiri district,683549
Tamil Nadu,2021,3,cuddalore district,463831
Tamil Nadu,2021,3,kancheepuram district,1025651
Tamil Nadu,2021,3,tiruppur district,891753
Tamil Nadu,2021,3,dharmapuri district,355076
Tamil Nadu,2021,3,thoothukkudi district,288108
Tamil Nadu,2021,3,thanjavur district,392930
Tamil Nadu,2021,3,madurai district,725021
Tamil Nadu,2021,3,tiruvannamalai district,428728
Tamil Nadu,2021,3,salem district,798213
Tamil Nadu,2021,3,nagapattinam district,199299
Tamil Nadu,2021,3,tirupathur district,279522
Tamil Nadu,2021,3,ariyalur district,117383
Tamil Nadu,2021,3,chennai district,2124347
Tamil Nadu,2021,3,the nilgiris district,153030
Tamil Nadu,2021,3,erode district,519095
Tamil Nadu,2021,3,karur district,195366
Tamil Nadu,2021,3,kallakkurichi district,268553
Tamil Nadu,2021,3,viluppuram district,333349
Tamil Nadu,2021,3,pudukkottai district,207359
Tamil Nadu,2021,3,perambalur district,98707
Tamil Nadu,2021,3,coimbatore district,1494350
Tamil Nadu,2021,3,virudhunagar district,303934
Tamil Nadu,2021,3,dindigul district,386724
Tamil Nadu,2021,3,sivaganga district,211419
Tamil Nadu,2021,3,tenkasi district,179448
Tamil Nadu,2021,3,chengalpattu district,1438295
Tamil Nadu,2021,3,kanniyakumari district,327767
Tamil Nadu,2021,3,tirunelveli district,298663
Tamil Nadu,2021,3,thiruvallur district,1744228
Tamil Nadu,2021,3,theni district,215932
Tamil Nadu,2021,3,ranipet district,286775
Tamil Nadu,2021,3,namakkal district,351110
Tamil Nadu,2021,3,vellore district,397837
Tamil Nadu,2021,3,thiruvarur district,150058
Tamil Nadu,2021,4,tiruchirappalli district,649095
Tamil Nadu,2021,4,ramanathapuram district,197871
Tamil Nadu,2021,4,krishnagiri district,731018
Tamil Nadu,2021,4,cuddalore district,496175
Tamil Nadu,2021,4,kancheepuram district,1094222
Tamil Nadu,2021,4,tiruppur district,954674
Tamil Nadu,2021,4,dharmapuri district,380374
Tamil Nadu,2021,4,thoothukkudi district,308403
Tamil Nadu,2021,4,thanjavur district,419975
Tamil Nadu,2021,4,madurai district,774490
Tamil Nadu,2021,4,tiruvannamalai district,459291
Tamil Nadu,2021,4,salem district,853064
Tamil Nadu,2021,4,nagapattinam district,213351
Tamil Nadu,2021,4,tirupathur district,298708
Tamil Nadu,2021,4,ariyalur district,125914
Tamil Nadu,2021,4,chennai district,2261346
Tamil Nadu,2021,4,the nilgiris district,163376
Tamil Nadu,2021,4,erode district,555089
Tamil Nadu,2021,4,karur district,209536
Tamil Nadu,2021,4,kallakkurichi district,287987
Tamil Nadu,2021,4,viluppuram district,356755
Tamil Nadu,2021,4,pudukkottai district,222558
Tamil Nadu,2021,4,perambalur district,105814
Tamil Nadu,2021,4,coimbatore district,1594082
Tamil Nadu,2021,4,virudhunagar district,325642
Tamil Nadu,2021,4,dindigul district,414158
Tamil Nadu,2021,4,sivaganga district,226759
Tamil Nadu,2021,4,tenkasi district,192159
Tamil Nadu,2021,4,chengalpattu district,1532535
Tamil Nadu,2021,4,kanniyakumari district,350058
Tamil Nadu,2021,4,tirunelveli district,319265
Tamil Nadu,2021,4,thiruvallur district,1860992
Tamil Nadu,2021,4,theni district,231118
Tamil Nadu,2021,4,ranipet district,306295
Tamil Nadu,2021,4,namakkal district,375908
Tamil Nadu,2021,4,vellore district,424585
Tamil Nadu,2021,4,thiruvarur district,160500
Tamil Nadu,2022,1,tiruchirappalli district,688562
Tamil Nadu,2022,1,ramanathapuram district,210698
Tamil Nadu,2022,1,krishnagiri district,776101
Tamil Nadu,2022,1,cuddalore district,527223
Tamil Nadu,2022,1,kancheepuram district,1158719
Tamil Nadu,2022,1,tiruppur district,1014036
Tamil Nadu,2022,1,dharmapuri district,404709
Tamil Nadu,2022,1,thoothukkudi district,327607
Tamil Nadu,2022,1,thanjavur district,445883
Tamil Nadu,2022,1,madurai district,820952
Tamil Nadu,2022,1,tiruvannamalai district,489026
Tamil Nadu,2022,1,salem district,905104
Tamil Nadu,2022,1,nagapattinam district,226781
Tamil Nadu,2022,1,tirupathur district,317064
Tamil Nadu,2022,1,ariyalur district,134075
Tamil Nadu,2022,1,chennai district,2388315
Tamil Nadu,2022,1,the nilgiris district,173188
Tamil Nadu,2022,1,erode district,589462
Tamil Nadu,2022,1,karur district,222853
Tamil Nadu,2022,1,kallakkurichi district,306623
Tamil Nadu,2022,1,viluppuram district,379264
Tamil Nadu,2022,1,pudukkottai district,237115
Tamil Nadu,2022,1,perambalur district,112667
Tamil Nadu,2022,1,coimbatore district,1687096
Tamil Nadu,2022,1,virudhunagar district,346363
Tamil Nadu,2022,1,dindigul district,440072
Tamil Nadu,2022,1,sivaganga district,241188
Tamil Nadu,2022,1,tenkasi district,204182
Tamil Nadu,2022,1,chengalpattu district,1621177
Tamil Nadu,2022,1,kanniyakumari district,370820
Tamil Nadu,2022,1,tirunelveli district,338716
Tamil Nadu,2022,1,thiruvallur district,1970646
Tamil Nadu,2022,1,theni district,245438
Tamil Nadu,2022,1,ranipet district,325358
Tamil Nadu,2022,1,namakkal district,399282
Tamil Nadu,2022,1,vellore district,449961
Tamil Nadu,2022,1,thiruvarur district,170694
Tamil Nadu,2022,2,tiruchirappalli district,725751
Tamil Nadu,2022,2,ramanathapuram district,222241
Tamil Nadu,2022,2,krishnagiri district,818552
Tamil Nadu,2022,2,cuddalore district,556402
Tamil Nadu,2022,2,kancheepuram district,1220237
Tamil Nadu,2022,2,tiruppur district,1070480
Tamil Nadu,2022,2,dharmapuri district,427150
Tamil Nadu,2022,2,thoothukkudi district,345560
Tamil Nadu,2022,2,thanjavur district,470070
Tamil Nadu,2022,2,madurai district,864806
Tamil Nadu,2022,2,tiruvannamalai district,516276
Tamil Nadu,2022,2,salem district,954155
Tamil Nadu,2022,2,nagapattinam district,239174
Tamil Nadu,2022,2,tirupathur district,334378
Tamil Nadu,2022,2,ariyalur district,141760
Tamil Nadu,2022,2,chennai district,2509588
Tamil Nadu,2022,2,the nilgiris district,182412
Tamil Nadu,2022,2,erode district,621587
Tamil Nadu,2022,2,karur district,235178
Tamil Nadu,2022,2,kallakkurichi district,324021
Tamil Nadu,2022,2,viluppuram district,400301
Tamil Nadu,2022,2,pudukkottai district,250443
Tamil Nadu,2022,2,perambalur district,118807
Tamil Nadu,2022,2,coimbatore district,1775760
Tamil Nadu,2022,2,virudhunagar district,365515
Tamil Nadu,2022,2,dindigul district,464161
Tamil Nadu,2022,2,sivaganga district,254519
Tamil Nadu,2022,2,tenkasi district,215290
Tamil Nadu,2022,2,chengalpattu district,1704864
Tamil Nadu,2022,2,kanniyakumari district,390775
Tamil Nadu,2022,2,tirunelveli district,356993
Tamil Nadu,2022,2,thiruvallur district,2075274
Tamil Nadu,2022,2,theni district,258803
Tamil Nadu,2022,2,ranipet district,343090
Tamil Nadu,2022,2,namakkal district,421279
Tamil Nadu,2022,2,vellore district,473994
Tamil Nadu,2022,2,thiruvarur district,180074
Tamil Nadu,2022,3,tiruchirappalli district,763327
Tamil Nadu,2022,3,ramanathapuram district,233402
Tamil Nadu,2022,3,krishnagiri district,862231
Tamil Nadu,2022,3,cuddalore district,586020
Tamil Nadu,2022,3,kancheepuram district,1284243
Tamil Nadu,2022,3,tiruppur district,1128474
Tamil Nadu,2022,3,dharmapuri district,450260
Tamil Nadu,2022,3,thoothukkudi district,363372
Tamil Nadu,2022,3,thanjavur district,494223
Tamil Nadu,2022,3,madurai district,910111
Tamil Nadu,2022,3,tiruvannamalai district,543589
Tamil Nadu,2022,3,salem district,1005031
Tamil Nadu,2022,3,nagapattinam district,251603
Tamil Nadu,2022,3,tirupathur district,352443
Tamil Nadu,2022,3,ariyalur district,149084
Tamil Nadu,2022,3,chennai district,2635738
Tamil Nadu,2022,3,the nilgiris district,191664
Tamil Nadu,2022,3,erode district,654373
Tamil Nadu,2022,3,karur district,247251
Tamil Nadu,2022,3,kallakkurichi district,341416
Tamil Nadu,2022,3,viluppuram district,421487
Tamil Nadu,2022,3,pudukkottai district,262926
Tamil Nadu,2022,3,perambalur district,124952
Tamil Nadu,2022,3,coimbatore district,1867655
Tamil Nadu,2022,3,virudhunagar district,384815
Tamil Nadu,2022,3,dindigul district,488441
Tamil Nadu,2022,3,sivaganga district,267326
Tamil Nadu,2022,3,tenkasi district,226380
Tamil Nadu,2022,3,chengalpattu district,1791530
Tamil Nadu,2022,3,kanniyakumari district,411655
Tamil Nadu,2022,3,tirunelveli district,375362
Tamil Nadu,2022,3,thiruvallur district,2183990
Tamil Nadu,2022,3,theni district,272745
Tamil Nadu,2022,3,ranipet district,361284
Tamil Nadu,2022,3,namakkal district,443273
Tamil Nadu,2022,3,vellore district,499041
Tamil Nadu,2022,3,thiruvarur district,189247
Tamil Nadu,2022,4,tiruchirappalli district,798742
Tamil Nadu,2022,4,ramanathapuram district,242901
Tamil Nadu,2022,4,krishnagiri district,902906
Tamil Nadu,2022,4,cuddalore district,612577
Tamil Nadu,2022,4,kancheepuram district,1346845
Tamil Nadu,2022,4,tiruppur district,1183174
Tamil Nadu,2022,4,dharmapuri district,471109
Tamil Nadu,2022,4,thoothukkudi district,378714
Tamil Nadu,2022,4,thanjavur district,515959
Tamil Nadu,2022,4,madurai district,953739
Tamil Nadu,2022,4,tiruvannamalai district,567805
Tamil Nadu,2022,4,salem district,1052099
Tamil Nadu,2022,4,nagapattinam district,262020
Tamil Nadu,2022,4,tirupathur district,369186
Tamil Nadu,2022,4,ariyalur district,155220
Tamil Nadu,2022,4,chennai district,2763151
Tamil Nadu,2022,4,the nilgiris district,199839
Tamil Nadu,2022,4,erode district,684126
Tamil Nadu,2022,4,karur district,258049
Tamil Nadu,2022,4,kallakkurichi district,356553
Tamil Nadu,2022,4,viluppuram district,440319
Tamil Nadu,2022,4,pudukkottai district,273282
Tamil Nadu,2022,4,perambalur district,130138
Tamil Nadu,2022,4,coimbatore district,1955681
Tamil Nadu,2022,4,virudhunagar district,402140
Tamil Nadu,2022,4,dindigul district,510056
Tamil Nadu,2022,4,sivaganga district,278300
Tamil Nadu,2022,4,tenkasi district,236123
Tamil Nadu,2022,4,chengalpattu district,1876163
Tamil Nadu,2022,4,kanniyakumari district,430646
Tamil Nadu,2022,4,tirunelveli district,391902
Tamil Nadu,2022,4,thiruvallur district,2290089
Tamil Nadu,2022,4,theni district,285305
Tamil Nadu,2022,4,ranipet district,378016
Tamil Nadu,2022,4,namakkal district,463431
Tamil Nadu,2022,4,vellore district,522921
Tamil Nadu,2022,4,thiruvarur district,196886
Telangana,2018,1,narayanpet district,13945
Telangana,2018,1,nalgonda district,84459
Telangana,2018,1,jangaon district,30373
Telangana,2018,1,bhadradri kothagudem district,57366
Telangana,2018,1,warangal rural district,36701
Telangana,2018,1,kumuram bheem asifabad district,13448
Telangana,2018,1,nizamabad district,77516
Telangana,2018,1,adilabad district,20180
Telangana,2018,1,rajanna sircilla district,32891
Telangana,2018,1,nagarkurnool district,32570
Telangana,2018,1,peddapalle district,67418
Telangana,2018,1,nirmal district,25519
Telangana,2018,1,mahabubabad district,32847
Telangana,2018,1,sangareddy district,142807
Telangana,2018,1,wanaparthy district,20785
Telangana,2018,1,vikarabad district,29719
Telangana,2018,1,jagtial district,51382
Telangana,2018,1,yadadri bhuvanagiri district,45267
Telangana,2018,1,medak district,29694
Telangana,2018,1,mahbubnagar district,45445
Telangana,2018,1,jaya shankar bhalupally district,21824
Telangana,2018,1,warangal urban district,133840
Telangana,2018,1,rangareddy district,635175
Telangana,2018,1,hyderabad district,655175
Telangana,2018,1,suryapet district,52906
Telangana,2018,1,jogulamba gadwal district,21686
Telangana,2018,1,kamareddy district,38028
Telangana,2018,1,mulugu district,10977
Telangana,2018,1,medchal malkajgiri district,549429
Telangana,2018,1,karimnagar district,100028
Telangana,2018,1,mancherial district,59684
Telangana,2018,1,siddipet district,61535
Telangana,2018,1,khammam district,84941
Telangana,2018,2,narayanpet district,19241
Telangana,2018,2,nalgonda district,110668
Telangana,2018,2,jangaon district,39257
Telangana,2018,2,bhadradri kothagudem district,76720
Telangana,2018,2,warangal rural district,47143
Telangana,2018,2,kumuram bheem asifabad district,18419
Telangana,2018,2,nizamabad district,100652
Telangana,2018,2,adilabad district,27059
Telangana,2018,2,rajanna sircilla district,41914
Telangana,2018,2,nagarkurnool district,44394
Telangana,2018,2,peddapalle district,86033
Telangana,2018,2,nirmal district,33477
Telangana,2018,2,mahabubabad district,42930
Telangana,2018,2,sangareddy district,182673
Telangana,2018,2,wanaparthy district,28072
Telangana,2018,2,vikarabad district,39810
Telangana,2018,2,jagtial district,64462
Telangana,2018,2,yadadri bhuvanagiri district,58409
Telangana,2018,2,medak district,38843
Telangana,2018,2,mahbubnagar district,60718
Telangana,2018,2,jaya shankar bhalupally district,28820
Telangana,2018,2,warangal urban district,171260
Telangana,2018,2,rangareddy district,804959
Telangana,2018,2,hyderabad district,842483
Telangana,2018,2,suryapet district,69474
Telangana,2018,2,jogulamba gadwal district,28719
Telangana,2018,2,kamareddy district,49421
Telangana,2018,2,mulugu district,14542
Telangana,2018,2,medchal malkajgiri district,696211
Telangana,2018,2,karimnagar district,126122
Telangana,2018,2,mancherial district,76358
Telangana,2018,2,siddipet district,79491
Telangana,2018,2,khammam district,111361
Telangana,2018,3,narayanpet district,24511
Telangana,2018,3,nalgonda district,134723
Telangana,2018,3,jangaon district,47948
Telangana,2018,3,bhadradri kothagudem district,94215
Telangana,2018,3,warangal rural district,57086
Telangana,2018,3,kumuram bheem asifabad district,23354
Telangana,2018,3,nizamabad district,120650
Telangana,2018,3,adilabad district,33800
Telangana,2018,3,rajanna sircilla district,50080
Telangana,2018,3,nagarkurnool district,56759
Telangana,2018,3,peddapalle district,102365
Telangana,2018,3,nirmal district,41370
Telangana,2018,3,mahabubabad district,52527
Telangana,2018,3,sangareddy district,220802
Telangana,2018,3,wanaparthy district,35054
Telangana,2018,3,vikarabad district,50915
Telangana,2018,3,jagtial district,76056
Telangana,2018,3,yadadri bhuvanagiri district,71205
Telangana,2018,3,medak district,48256
Telangana,2018,3,mahbubnagar district,74581
Telangana,2018,3,jaya shankar bhalupally district,35388
Telangana,2018,3,warangal urban district,199919
Telangana,2018,3,rangareddy district,963186
Telangana,2018,3,hyderabad district,1024241
Telangana,2018,3,suryapet district,85201
Telangana,2018,3,jogulamba gadwal district,35851
Telangana,2018,3,kamareddy district,61083
Telangana,2018,3,mulugu district,17937
Telangana,2018,3,medchal malkajgiri district,828425
Telangana,2018,3,karimnagar district,148562
Telangana,2018,3,mancherial district,90605
Telangana,2018,3,siddipet district,96493
Telangana,2018,3,khammam district,135353
Telangana,2018,4,narayanpet district,31824
Telangana,2018,4,nalgonda district,171002
Telangana,2018,4,jangaon district,61250
Telangana,2018,4,bhadradri kothagudem district,117947
Telangana,2018,4,warangal rural district,71132
Telangana,2018,4,kumuram bheem asifabad district,29816
Telangana,2018,4,nizamabad district,150190
Telangana,2018,4,adilabad district,43214
Telangana,2018,4,rajanna sircilla district,61982
Telangana,2018,4,nagarkurnool district,74363
Telangana,2018,4,peddapalle district,124191
Telangana,2018,4,nirmal district,51412
Telangana,2018,4,mahabubabad district,65709
Telangana,2018,4,sangareddy district,281038
Telangana,2018,4,wanaparthy district,44681
Telangana,2018,4,vikarabad district,65959
Telangana,2018,4,jagtial district,95149
Telangana,2018,4,yadadri bhuvanagiri district,90727
Telangana,2018,4,medak district,62676
Telangana,2018,4,mahbubnagar district,94570
Telangana,2018,4,jaya shankar bhalupally district,43485
Telangana,2018,4,warangal urban district,249500
Telangana,2018,4,rangareddy district,1217664
Telangana,2018,4,hyderabad district,1336872
Telangana,2018,4,suryapet district,107039
Telangana,2018,4,jogulamba gadwal district,45841
Telangana,2018,4,kamareddy district,77613
Telangana,2018,4,mulugu district,22206
Telangana,2018,4,medchal malkajgiri district,1056739
Telangana,2018,4,karimnagar district,182600
Telangana,2018,4,mancherial district,110062
Telangana,2018,4,siddipet district,122741
Telangana,2018,4,khammam district,168485
Telangana,2019,1,narayanpet district,40074
Telangana,2019,1,nalgonda district,211184
Telangana,2019,1,jangaon district,75697
Telangana,2019,1,bhadradri kothagudem district,143331
Telangana,2019,1,warangal rural district,86129
Telangana,2019,1,kumuram bheem asifabad district,36654
Telangana,2019,1,nizamabad district,186351
Telangana,2019,1,adilabad district,52692
Telangana,2019,1,rajanna sircilla district,74849
Telangana,2019,1,nagarkurnool district,93752
Telangana,2019,1,peddapalle district,146982
Telangana,2019,1,nirmal district,62468
Telangana,2019,1,mahabubabad district,80528
Telangana,2019,1,sangareddy district,346529
Telangana,2019,1,wanaparthy district,56006
Telangana,2019,1,vikarabad district,82823
Telangana,2019,1,jagtial district,114424
Telangana,2019,1,yadadri bhuvanagiri district,112847
Telangana,2019,1,medak district,79145
Telangana,2019,1,mahbubnagar district,117364
Telangana,2019,1,jaya shankar bhalupally district,52428
Telangana,2019,1,warangal urban district,301881
Telangana,2019,1,rangareddy district,1470874
Telangana,2019,1,hyderabad district,1638436
Telangana,2019,1,suryapet district,131272
Telangana,2019,1,jogulamba gadwal district,57206
Telangana,2019,1,kamareddy district,96369
Telangana,2019,1,mulugu district,27532
Telangana,2019,1,medchal malkajgiri district,1279531
Telangana,2019,1,karimnagar district,218609
Telangana,2019,1,mancherial district,131128
Telangana,2019,1,siddipet district,152281
Telangana,2019,1,khammam district,206049
Telangana,2019,2,narayanpet district,46909
Telangana,2019,2,nalgonda district,243227
Telangana,2019,2,jangaon district,87261
Telangana,2019,2,bhadradri kothagudem district,166124
Telangana,2019,2,warangal rural district,99395
Telangana,2019,2,kumuram bheem asifabad district,42328
Telangana,2019,2,nizamabad district,217841
Telangana,2019,2,adilabad district,60912
Telangana,2019,2,rajanna sircilla district,85094
Telangana,2019,2,nagarkurnool district,110443
Telangana,2019,2,peddapalle district,164429
Telangana,2019,2,nirmal district,72367
Telangana,2019,2,mahabubabad district,93293
Telangana,2019,2,sangareddy district,395371
Telangana,2019,2,wanaparthy district,65235
Telangana,2019,2,vikarabad district,97441
Telangana,2019,2,jagtial district,130387
Telangana,2019,2,yadadri bhuvanagiri district,130181
Telangana,2019,2,medak district,91570
Telangana,2019,2,mahbubnagar district,135546
Telangana,2019,2,jaya shankar bhalupally district,60052
Telangana,2019,2,warangal urban district,342602
Telangana,2019,2,rangareddy district,1651300
Telangana,2019,2,hyderabad district,1856926
Telangana,2019,2,suryapet district,151114
Telangana,2019,2,jogulamba gadwal district,66672
Telangana,2019,2,kamareddy district,111871
Telangana,2019,2,mulugu district,32156
Telangana,2019,2,medchal malkajgiri district,1428880
Telangana,2019,2,karimnagar district,246886
Telangana,2019,2,mancherial district,147346
Telangana,2019,2,siddipet district,175413
Telangana,2019,2,khammam district,239435
Telangana,2019,3,narayanpet district,53512
Telangana,2019,3,nalgonda district,274568
Telangana,2019,3,jangaon district,97865
Telangana,2019,3,bhadradri kothagudem district,187580
Telangana,2019,3,warangal rural district,111605
Telangana,2019,3,kumuram bheem asifabad district,47616
Telangana,2019,3,nizamabad district,248977
Telangana,2019,3,adilabad district,68686
Telangana,2019,3,rajanna sircilla district,95396
Telangana,2019,3,nagarkurnool district,126599
Telangana,2019,3,peddapalle district,181084
Telangana,2019,3,nirmal district,81523
Telangana,2019,3,mahabubabad district,105126
Telangana,2019,3,sangareddy district,441944
Telangana,2019,3,wanaparthy district,73946
Telangana,2019,3,vikarabad district,111704
Telangana,2019,3,jagtial district,146602
Telangana,2019,3,yadadri bhuvanagiri district,145955
Telangana,2019,3,medak district,103294
Telangana,2019,3,mahbubnagar district,154856
Telangana,2019,3,jaya shankar bhalupally district,67145
Telangana,2019,3,warangal urban district,381730
Telangana,2019,3,rangareddy district,1826019
Telangana,2019,3,hyderabad district,2071673
Telangana,2019,3,suryapet district,169675
Telangana,2019,3,jogulamba gadwal district,76012
Telangana,2019,3,kamareddy district,126537
Telangana,2019,3,mulugu district,36280
Telangana,2019,3,medchal malkajgiri district,1572320
Telangana,2019,3,karimnagar district,274735
Telangana,2019,3,mancherial district,163495
Telangana,2019,3,siddipet district,196397
Telangana,2019,3,khammam district,270101
Telangana,2019,4,narayanpet district,61454
Telangana,2019,4,nalgonda district,312849
Telangana,2019,4,jangaon district,110428
Telangana,2019,4,bhadradri kothagudem district,213581
Telangana,2019,4,warangal rural district,125617
Telangana,2019,4,kumuram bheem asifabad district,54853
Telangana,2019,4,nizamabad district,284623
Telangana,2019,4,adilabad district,79186
Telangana,2019,4,rajanna sircilla district,107765
Telangana,2019,4,nagarkurnool district,145325
Telangana,2019,4,peddapalle district,200718
Telangana,2019,4,nirmal district,93465
Telangana,2019,4,mahabubabad district,119715
Telangana,2019,4,sangareddy district,493353
Telangana,2019,4,wanaparthy district,84527
Telangana,2019,4,vikarabad district,128847
Telangana,2019,4,jagtial district,166146
Telangana,2019,4,yadadri bhuvanagiri district,165781
Telangana,2019,4,medak district,117616
Telangana,2019,4,mahbubnagar district,176619
Telangana,2019,4,jaya shankar bhalupally district,75975
Telangana,2019,4,warangal urban district,421970
Telangana,2019,4,rangareddy district,2001437
Telangana,2019,4,hyderabad district,2283903
Telangana,2019,4,suryapet district,192063
Telangana,2019,4,jogulamba gadwal district,87093
Telangana,2019,4,kamareddy district,144240
Telangana,2019,4,mulugu district,41655
Telangana,2019,4,medchal malkajgiri district,1714832
Telangana,2019,4,karimnagar district,305507
Telangana,2019,4,mancherial district,183580
Telangana,2019,4,siddipet district,221164
Telangana,2019,4,khammam district,304804
Telangana,2020,1,narayanpet district,69951
Telangana,2020,1,nalgonda district,351793
Telangana,2020,1,jangaon district,122645
Telangana,2020,1,bhadradri kothagudem district,240218
Telangana,2020,1,warangal rural district,138279
Telangana,2020,1,kumuram bheem asifabad district,62210
Telangana,2020,1,nizamabad district,320572
Telangana,2020,1,adilabad district,90082
Telangana,2020,1,rajanna sircilla district,119857
Telangana,2020,1,nagarkurnool district,165017
Telangana,2020,1,peddapalle district,219359
Telangana,2020,1,nirmal district,105257
Telangana,2020,1,mahabubabad district,133329
Telangana,2020,1,sangareddy district,542540
Telangana,2020,1,wanaparthy district,95305
Telangana,2020,1,vikarabad district,146927
Telangana,2020,1,jagtial district,186557
Telangana,2020,1,yadadri bhuvanagiri district,184218
Telangana,2020,1,medak district,131276
Telangana,2020,1,mahbubnagar district,198442
Telangana,2020,1,jaya shankar bhalupally district,83741
Telangana,2020,1,warangal urban district,457591
Telangana,2020,1,rangareddy district,2166829
Telangana,2020,1,hyderabad district,2483843
Telangana,2020,1,suryapet district,215377
Telangana,2020,1,jogulamba gadwal district,98743
Telangana,2020,1,kamareddy district,162054
Telangana,2020,1,mulugu district,47202
Telangana,2020,1,medchal malkajgiri district,1845599
Telangana,2020,1,karimnagar district,334300
Telangana,2020,1,mancherial district,201832
Telangana,2020,1,siddipet district,245168
Telangana,2020,1,khammam district,340747
Telangana,2020,2,narayanpet district,79975
Telangana,2020,2,nalgonda district,393199
Telangana,2020,2,jangaon district,135637
Telangana,2020,2,bhadradri kothagudem district,269053
Telangana,2020,2,warangal rural district,152409
Telangana,2020,2,kumuram bheem asifabad district,70431
Telangana,2020,2,nizamabad district,362663
Telangana,2020,2,adilabad district,102358
Telangana,2020,2,rajanna sircilla district,131832
Telangana,2020,2,nagarkurnool district,185422
Telangana,2020,2,peddapalle district,238823
Telangana,2020,2,nirmal district,119692
Telangana,2020,2,mahabubabad district,148880
Telangana,2020,2,sangareddy district,593360
Telangana,2020,2,wanaparthy district,106739
Telangana,2020,2,vikarabad district,167218
Telangana,2020,2,jagtial district,208759
Telangana,2020,2,yadadri bhuvanagiri district,202936
Telangana,2020,2,medak district,145635
Telangana,2020,2,mahbubnagar district,220639
Telangana,2020,2,jaya shankar bhalupally district,91966
Telangana,2020,2,warangal urban district,495066
Telangana,2020,2,rangareddy district,2313748
Telangana,2020,2,hyderabad district,2653534
Telangana,2020,2,suryapet district,242820
Telangana,2020,2,jogulamba gadwal district,112769
Telangana,2020,2,kamareddy district,182240
Telangana,2020,2,mulugu district,53156
Telangana,2020,2,medchal malkajgiri district,1963353
Telangana,2020,2,karimnagar district,362986
Telangana,2020,2,mancherial district,221435
Telangana,2020,2,siddipet district,269076
Telangana,2020,2,khammam district,380382
Telangana,2020,3,narayanpet district,88897
Telangana,2020,3,nalgonda district,435022
Telangana,2020,3,jangaon district,148978
Telangana,2020,3,bhadradri kothagudem district,297785
Telangana,2020,3,warangal rural district,168438
Telangana,2020,3,kumuram bheem asifabad district,79379
Telangana,2020,3,nizamabad district,405678
Telangana,2020,3,adilabad district,114763
Telangana,2020,3,rajanna sircilla district,145258
Telangana,2020,3,nagarkurnool district,205810
Telangana,2020,3,peddapalle district,259183
Telangana,2020,3,nirmal district,134124
Telangana,2020,3,mahabubabad district,164800
Telangana,2020,3,sangareddy district,649580
Telangana,2020,3,wanaparthy district,117968
Telangana,2020,3,vikarabad district,186369
Telangana,2020,3,jagtial district,232101
Telangana,2020,3,yadadri bhuvanagiri district,223066
Telangana,2020,3,medak district,160492
Telangana,2020,3,mahbubnagar district,243998
Telangana,2020,3,jaya shankar bhalupally district,100886
Telangana,2020,3,warangal urban district,535485
Telangana,2020,3,rangareddy district,2495699
Telangana,2020,3,hyderabad district,2875965
Telangana,2020,3,suryapet district,269601
Telangana,2020,3,jogulamba gadwal district,126584
Telangana,2020,3,kamareddy district,201892
Telangana,2020,3,mulugu district,59368
Telangana,2020,3,medchal malkajgiri district,2111567
Telangana,2020,3,karimnagar district,394328
Telangana,2020,3,mancherial district,242301
Telangana,2020,3,siddipet district,294416
Telangana,2020,3,khammam district,421101
Telangana,2020,4,narayanpet district,98243
Telangana,2020,4,nalgonda district,478409
Telangana,2020,4,jangaon district,162803
Telangana,2020,4,bhadradri kothagudem district,328326
Telangana,2020,4,warangal rural district,183786
Telangana,2020,4,kumuram bheem asifabad district,88807
Telangana,2020,4,nizamabad district,449731
Telangana,2020,4,adilabad district,128184
Telangana,2020,4,rajanna sircilla district,160123
Telangana,2020,4,nagarkurnool district,226388
Telangana,2020,4,peddapalle district,281140
